id;mala_name;is_editable;description
1;navigate sensor SDR;false;open-source Savings Account
2;transmitting Ergonomic Keyboard;false;Rustic Steel Mouse Computers Massachusetts
3;Chief FTP;false;Money Market Account
4;Jamaica;false;front-end overriding Garden
5;Robust;false;Practical Frozen Table Steel
6;Fresh partnerships Graphic Interface;false;alliance
7;Bike Games Agent;true;Kwanza
8;transmit;false;International
9;RAM Cheese Sleek Soft Mouse;true;Credit Card Account
10;Pennsylvania;true;Forward Barbados Dollar Berkshire
