id;data_value;data_int;user_entered_custom_value
1;Electronics;43944;New Mexico deposit compressing
2;Assimilated;19764;portal Representative
3;Ergonomic schemas Handcrafted;24144;Licensed neural
4;Handcrafted Plastic Fish;48161;Cliffs
5;Technician;2870;optimal
6;internet solution compressing copying;62936;Handmade Concrete Computer PCI
7;invoice recontextualize Buckinghamshire;28190;quantify static SSL
8;Fresh card;93050;Bike parse
9;Division Liaison;38097;Cheese
10;override withdrawal secondary;60865;knowledge base
